L1,C,L1L2,L2,AaA,LoR,Edu.day,Sex,Family,ISO639.3,Enroll,Speaking,morph,lex,new_feat,new_sounds,L1
Albanian,Albania,AlbanianEnglish,English,17,3,3,Male,Indo-European,sqi ,78,515,0.0412,0.595079,11,21,1
Albanian,Yugoslavia,AlbanianEnglish,English,28,1,3,Male,Indo-European,sqi ,85,543,0.0412,0.595079,11,21,2
Amharic,Ethiopia,AmharicEnglish,English,44,3,3,Male,Afro-Asiatic,amh ,25,491,0.0657,0.595079,18,19,1
Arabic,Iraq,ArabicEnglish,English,23,1,4,Male,Afro-Asiatic,ara ,47,527,0.0638,0.595079,21,24,2
Arabic,Morocco,ArabicFrench,French,23,9,3,Male,Afro-Asiatic,ara ,49,507,0.0638,0.595079,21,24,1
Arabic,Morocco,ArabicFrench,French,18,15,3,Male,Afro-Asiatic,ara ,49,541,0.0638,0.595079,21,24,2
Arabic,Morocco,ArabicFrench,French,29,8,3,Female,Afro-Asiatic,ara ,49,585,0.0638,0.595079,21,24,1
Arabic,Algeria,ArabicFrench,French,28,4,3,Male,Afro-Asiatic,ara ,83,487,0.0638,0.595079,21,24,2
Arabic,Iraq,ArabicEnglish,English,29,2,1,Female,Afro-Asiatic,ara ,47,535,0.0638,0.595079,21,24,1
Arabic,Morocco,ArabicFrench,French,31,2,3,Male,Afro-Asiatic,ara ,49,523,0.0638,0.595079,21,24,2
Arabic,Iraq,ArabicKurdish,Kurdish,25,2,4,Female,Afro-Asiatic,ara ,47,521,0.0638,0.595079,21,24,1
Arabic,Algeria,ArabicFrench,French,31,6,4,Male,Afro-Asiatic,ara ,83,512,0.0638,0.595079,21,24,2
Arabic,Morocco,ArabicFrench,French,25,4,4,Female,Afro-Asiatic,ara ,49,498,0.0638,0.595079,21,24,1
Arabic,Kuwait,ArabicEnglish,English,24,9,3,Male,Afro-Asiatic,ara ,95,523,0.0638,0.595079,21,24,2
Arabic,Morocco,ArabicFrench,French,34,3,3,Male,Afro-Asiatic,ara ,49,459,0.0638,0.595079,21,24,1
Arabic,Morocco,ArabicEnglish,English,29,4,4,Male,Afro-Asiatic,ara ,49,530,0.0638,0.595079,21,24,2
Arabic,Morocco,ArabicFrench,French,23,2,3,Female,Afro-Asiatic,ara ,49,520,0.0638,0.595079,21,24,1
Arabic,Morocco,ArabicFrench,French,0,38,4,Male,Afro-Asiatic,ara ,49,505,0.0638,0.595079,21,24,2
Arabic,Iraq,ArabicMonolingual,Monolingual,19,6,1,Female,Afro-Asiatic,ara ,47,467,0.0638,0.595079,21,24,1
Arabic,Iraq,ArabicEnglish,English,26,3,3,Male,Afro-Asiatic,ara ,47,508,0.0638,0.595079,21,24,2
Arabic,Iraq,ArabicEnglish,English,26,2,4,Male,Afro-Asiatic,ara ,47,530,0.0638,0.595079,21,24,1
Arabic,Morocco,ArabicSpanish,Spanish,27,1,2,Male,Afro-Asiatic,ara ,49,496,0.0638,0.595079,21,24,2
Arabic,Israel,ArabicHebrew,Hebrew,28,3,3,Male,Afro-Asiatic,ara ,93,513,0.0638,0.595079,21,24,1
Arabic,Morocco,ArabicFrench,French,31,1,3,Male,Afro-Asiatic,ara ,49,521,0.0638,0.595079,21,24,2
Arabic,Morocco,ArabicFrench,French,27,1,4,Male,Afro-Asiatic,ara ,49,493,0.0638,0.595079,21,24,1
Arabic,Egypt,ArabicEnglish,English,27,2,4,Female,Afro-Asiatic,ara ,79,497,0.0638,0.595079,21,24,2
Arabic,Iraq,ArabicEnglish,English,27,3,4,Male,Afro-Asiatic,ara ,47,494,0.0638,0.595079,21,24,1
Arabic,Egypt,ArabicGerman,German,28,2,4,Male,Afro-Asiatic,ara ,79,480,0.0638,0.595079,21,24,2
Arabic,Egypt,ArabicArabic,Arabic,18,0,4,Male,Afro-Asiatic,ara ,79,523,0.0638,0.595079,21,24,1
Arabic,Sudan,ArabicEnglish,English,35,11,3,Male,Afro-Asiatic,ara ,31,474,0.0638,0.595079,21,24,2
Arabic,Morocco,ArabicFrench,French,19,13,1,Female,Afro-Asiatic,ara ,49,502,0.0638,0.595079,21,24,1
Arabic,Syria,ArabicEnglish,English,23,3,3,Female,Afro-Asiatic,ara ,67,536,0.0638,0.595079,21,24,2
Arabic,Sudan,ArabicEnglish,English,17,2,1,Male,Afro-Asiatic,ara ,31,455,0.0638,0.595079,21,24,1
Arabic,Morocco,ArabicFrench,French,29,1,4,Male,Afro-Asiatic,ara ,49,436,0.0638,0.595079,21,24,2
Armenian,USSR,ArmenianRussian,Russian,43,5,4,Female,Indo-European,hye ,90,485,0.0298,0.492995,21,23,1
Armenian,Turkey,ArmenianRussian,Russian,26,6,4,Male,Indo-European,hye ,79,495,0.0298,0.492995,21,23,2
Armenian,USSR,ArmenianFrench,French,27,2,3,Female,Indo-European,hye ,90,497,0.0298,0.492995,21,23,1
Armenian,Armenia,ArmenianEnglish,English,21,3,3,Female,Indo-European,hye ,88,552,0.0298,0.492995,21,23,2
Bulgarian,Bulgaria,BulgarianRussian,Russian,32,1,4,Female,Indo-European,bul ,90,550,0.0642,0.411091,12,21,1
Bulgarian,Bulgaria,BulgarianEnglish,English,26,3,3,Female,Indo-European,bul ,90,544,0.0642,0.411091,12,21,2
Bulgarian,Bulgaria,BulgarianItalian,Italian,20,2,3,Female,Indo-European,bul ,90,515,0.0642,0.411091,12,21,1
Catalan,Spain,CatalanSpanish,Spanish,29,1,4,Female,Indo-European,cat ,118,516,0.0193,0.39545,17,19,2
Croatian,Yugoslavia,CroatianEnglish,English,30,3,3,Female,Indo-European,hrv ,85,518,0.0638,0.395005,11,19,1
Croatian,Yugoslavia,CroatianMonolingual,Monolingual,32,7,4,Male,Indo-European,hrv ,85,434,0.0638,0.395005,11,19,2
Czech,CzechRepublic,CzechGerman,German,30,2,4,Female,Indo-European,ces ,95,519,0.054,0.38518,9,15,1
Czech,Czechslowakia,CzechEnglish,English,21,3,4,Female,Indo-European,ces ,90,578,0.054,0.38518,9,15,2
English,UnitedStates,EnglishItalian,Italian,30,4,4,Female,Indo-European,eng ,94,557,0.0094,0.083191,11,19,1
English,UnitedKingdom,EnglishMonolingual,Monolingual,21,4,3,Male,Indo-European,eng ,105,563,0.0094,0.083191,11,19,2
English,NewZealand,EnglishMonolingual,Monolingual,39,2,4,Female,Indo-European,eng ,120,498,0.0094,0.083191,11,19,1
English,Canada,EnglishMonolingual,Monolingual,28,1,1,Female,Indo-European,eng ,101,525,0.0094,0.083191,11,19,2
English,UnitedKingdom,EnglishGerman,German,1,17,3,Male,Indo-European,eng ,105,561,0.0094,0.083191,11,19,1
English,UnitedStates,EnglishSpanish,Spanish,23,2,4,Female,Indo-European,eng ,94,561,0.0094,0.083191,11,19,2
English,UnitedStates,EnglishMonolingual,Monolingual,27,3,1,Female,Indo-European,eng ,94,496,0.0094,0.083191,11,19,1
English,UnitedStates,EnglishSpanish,Spanish,30,17,3,Male,Indo-European,eng ,94,517,0.0094,0.083191,11,19,2
English,UnitedKingdom,EnglishMonolingual,Monolingual,26,3,4,Female,Indo-European,eng ,105,529,0.0094,0.083191,11,19,1
English,UnitedKingdom,EnglishFrench,French,37,4,4,Female,Indo-European,eng ,105,471,0.0094,0.083191,11,19,2
English,Netherlands,EnglishGerman,German,22,0,3,Female,Indo-European,eng ,118,607,0.0094,0.083191,11,19,1
English,UnitedKingdom,EnglishMonolingual,Monolingual,32,6,1,Female,Indo-European,eng ,105,534,0.0094,0.083191,11,19,2
English,UnitedStates,EnglishMonolingual,Monolingual,27,4,4,Female,Indo-European,eng ,94,535,0.0094,0.083191,11,19,1
English,SierraLeone,EnglishMonolingual,Monolingual,28,6,1,Male,Indo-European,eng ,27,525,0.0094,0.083191,11,19,2
English,Netherlands,EnglishSpanish,Spanish,24,1,4,Male,Indo-European,eng ,118,540,0.0094,0.083191,11,19,1
English,UnitedStates,EnglishGerman,German,21,1,4,Female,Indo-European,eng ,94,567,0.0094,0.083191,11,19,2
Finnish,Finland,FinnishGerman,German,43,2,3,Female,Uralic,fin ,111,494,0.0277,0.595079,13,17,1
Finnish,Finland,FinnishEnglish,English,20,1,3,Female,Uralic,fin ,111,593,0.0277,0.595079,13,17,2
French,France,FrenchEnglish,English,23,3,4,Female,Indo-European,fra ,113,566,0.0128,0.398095,10,15,1
French,France,FrenchEnglish,English,22,5,3,Female,Indo-European,fra ,113,587,0.0128,0.398095,10,15,2
French,France,FrenchEnglish,English,26,3,4,Female,Indo-European,fra ,113,536,0.0128,0.398095,10,15,1
French,"Congo,Republic",FrenchEnglish,English,18,5,3,Male,Indo-European,fra ,43,480,0.0128,0.398095,10,15,2
French,France,FrenchGerman,German,12,4,1,Female,Indo-European,fra ,113,539,0.0128,0.398095,10,15,1
French,France,FrenchEnglish,English,43,5,4,Male,Indo-European,fra ,113,545,0.0128,0.398095,10,15,2
French,France,FrenchEnglish,English,23,6,3,Female,Indo-European,fra ,113,536,0.0128,0.398095,10,15,1
French,France,FrenchEnglish,English,25,2,4,Male,Indo-European,fra ,113,539,0.0128,0.398095,10,15,2
German,Germany,GermanEnglish,English,26,1,4,Male,Indo-European,deu ,101,522,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,21,1,3,Female,Indo-European,deu ,101,548,-0.0171,0.037325,6,13,2
German,Switzerland,GermanEnglish,English,31,1,3,Male,Indo-European,deu ,94,504,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,21,2,3,Female,Indo-European,deu ,101,539,-0.0171,0.037325,6,13,2
German,Austria,GermanEnglish,English,34,1,3,Female,Indo-European,deu ,100,633,-0.0171,0.037325,6,13,1
German,"Korea,South",GermanEnglish,English,29,1,2,Female,Indo-European,deu ,97,526,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,9,12,2,Female,Indo-European,deu ,101,495,-0.0171,0.037325,6,13,1
German,Belgium,GermanEnglish,English,21,0,3,Female,Indo-European,deu ,109,520,-0.0171,0.037325,6,13,2
German,Germany,GermanMonolingual,Monolingual,21,1,4,Female,Indo-European,deu ,101,557,-0.0171,0.037325,6,13,1
German,Germany,GermanFrench,French,36,4,3,Female,Indo-European,deu ,101,548,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,31,1,2,Female,Indo-European,deu ,101,596,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,16,3,3,Male,Indo-European,deu ,101,590,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,51,1,3,Female,Indo-European,deu ,101,509,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,14,7,3,Female,Indo-European,deu ,101,532,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,39,2,3,Female,Indo-European,deu ,101,562,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,22,1,2,Female,Indo-European,deu ,101,535,-0.0171,0.037325,6,13,2
German,Germany,GermanMonolingual,Monolingual,28,3,2,Female,Indo-European,deu ,101,507,-0.0171,0.037325,6,13,1
German,Switzerland,GermanEnglish,English,26,4,2,Female,Indo-European,deu ,94,564,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,22,1,2,Female,Indo-European,deu ,101,500,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,22,0,3,Female,Indo-European,deu ,101,532,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,21,1,3,Female,Indo-European,deu ,101,524,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,21,5,3,Female,Indo-European,deu ,101,589,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,28,5,4,Male,Indo-European,deu ,101,561,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,22,1,3,Female,Indo-European,deu ,101,572,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,21,0,3,Female,Indo-European,deu ,101,521,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,19,1,3,Male,Indo-European,deu ,101,534,-0.0171,0.037325,6,13,2
German,Germany,GermanEnglish,English,19,6,1,Male,Indo-European,deu ,101,553,-0.0171,0.037325,6,13,1
German,Germany,GermanEnglish,English,27,4,3,Female,Indo-European,deu ,101,598,-0.0171,0.037325,6,13,2
Greek,Greece,GreekEnglish,English,20,1,3,Male,Indo-European,ell ,102,572,0.0403,0.497357,21,18,1
Hindi,India,HindiEnglish,English,24,1,4,Male,Indo-European,hin ,54,428,0.0468,0.530183,13,21,2
Hungarian,Poland,HungarianEnglish,English,25,0,4,Female,Uralic,hun ,100,537,0.0101,0.595079,6,13,1
Hungarian,Hungary,HungarianEnglish,English,18,3,3,Female,Uralic,hun ,96,559,0.0101,0.595079,6,13,2
Hungarian,Hungary,HungarianEnglish,English,40,6,4,Female,Uralic,hun ,96,509,0.0101,0.595079,6,13,1
Hungarian,Romania,HungarianRomanian,Romanian,24,14,3,Female,Uralic,hun ,86,594,0.0101,0.595079,6,13,2
Indonesian,Indonesia,IndonesianEnglish,English,24,1,3,Male,Austronesian,ind ,64,510,0.1461,0.595079,19,20,1
Indonesian,Indonesia,IndonesianEnglish,English,30,2,4,Female,Austronesian,ind ,64,481,0.1461,0.595079,19,20,2
Indonesian,Indonesia,IndonesianEnglish,English,18,1,3,Male,Austronesian,ind ,64,513,0.1461,0.595079,19,20,1
Indonesian,Indonesia,IndonesianEnglish,English,24,1,4,Female,Austronesian,ind ,64,491,0.1461,0.595079,19,20,2
Indonesian,Indonesia,IndonesianEnglish,English,35,2,3,Female,Austronesian,ind ,64,524,0.1461,0.595079,19,20,1
Indonesian,Indonesia,IndonesianMonolingual,Monolingual,24,9,3,Female,Austronesian,ind ,64,565,0.1461,0.595079,19,20,2
Indonesian,Indonesia,IndonesianEnglish,English,29,4,3,Female,Austronesian,ind ,64,508,0.1461,0.595079,19,20,1
Indonesian,Indonesia,IndonesianMonolingual,Monolingual,24,1,3,Female,Austronesian,ind ,64,472,0.1461,0.595079,19,20,2
Italian,Italy,ItalianEnglish,English,23,3,3,Male,Indo-European,ita ,99,538,-0.0011,0.358612,17,18,1
Italian,Italy,ItalianEnglish,English,29,2,2,Female,Indo-European,ita ,99,546,-0.0011,0.358612,17,18,2
Italian,Italy,ItalianEnglish,English,39,2,4,Female,Indo-European,ita ,99,521,-0.0011,0.358612,17,18,1
Italian,Italy,ItalianEnglish,English,44,2,3,Male,Indo-European,ita ,99,529,-0.0011,0.358612,17,18,2
Japanese,Japan,JapaneseEnglish,English,18,1,3,Female,Japanese,jpn ,101,497,0.175,0.595079,26,20,1
Korean,"Korea,South",KoreanEnglish,English,19,21,3,Female,Korean,kor ,97,515,0.143,0.595079,22,22,2
Kurdish,Iraq,KurdishArabic,Arabic,22,6,4,Male,Indo-European,kur ,47,515,0.0523,0.4257,11,22,1
Kurdish,Iraq,KurdishArabic,Arabic,48,5,4,Female,Indo-European,kur ,47,524,0.0523,0.4257,11,22,2
Kurdish,Iraq,KurdishArabic,Arabic,36,2,4,Female,Indo-European,kur ,47,501,0.0523,0.4257,11,22,1
